,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cape town,75,CL,1569858110,93,-36.41,-71.9,55.0,11.41
1,nanortalik,100,GL,1569858111,57,60.14,-45.24,45.41,3.22
2,san quintin,24,ML,1569857843,25,13.3,-4.9,99.95,8.81
3,clyde river,56,NZ,1569858111,94,-45.19,169.32,32.0,2.86
4,butaritari,67,KI,1569858111,65,3.07,172.79,85.01,6.31
5,basco,1,US,1569858111,78,40.33,-91.2,82.0,10.29
6,mar del plata,23,CN,1569858112,71,29.86,90.73,37.49,2.24
7,guerrero negro,0,AR,1569858112,26,-24.19,-65.45,91.4,4.7
8,ushuaia,75,AR,1569858053,86,-54.81,-68.31,33.8,23.04
9,hermanus,84,ZA,1569858113,68,-34.42,19.24,64.99,5.01
10,hithadhoo,33,MV,1569858087,74,-0.6,73.08,82.85,9.22
11,rikitea,100,PF,1569858113,76,-23.12,-134.97,68.81,16.22
12,urusha,100,RU,1569858113,97,54.05,122.9,32.99,2.08
13,santa rosa,100,PH,1569858114,73,17.49,120.43,83.39,8.55
14,hovd,40,NO,1569858114,93,63.83,10.7,44.01,8.05
15,arraial do cabo,0,BR,1569858114,20,-22.84,-46.65,82.4,6.93
16,tselinnoye,25,UA,1569858115,46,45.9,34.18,72.59,9.53
17,kaitangata,0,NZ,1569858115,78,-46.28,169.85,37.99,8.01
18,berlevag,40,NO,1569858115,86,70.86,29.09,41.0,18.34
19,hobyo,11,SO,1569858116,83,5.35,48.53,77.45,14.61
20,mataura,56,NZ,1569858116,89,-46.19,168.86,37.13,4.43
21,hobart,3,AU,1569858116,75,-42.88,147.33,42.8,6.93
22,suntar,100,RU,1569858116,94,62.16,117.65,32.27,3.56
23,barrow,100,AR,1569858117,70,-38.31,-60.23,58.73,7.27
24,upernavik,100,GL,1569858117,62,72.79,-56.15,38.93,4.29
25,cidreira,0,BR,1569858117,59,-30.17,-50.22,77.45,12.73
26,mikhaylovka,95,RU,1569858117,80,52.96,103.29,39.11,15.01
27,georgetown,75,GY,1569858057,70,6.8,-58.16,91.4,13.87
28,chuy,9,UY,1569858063,59,-33.69,-53.46,70.61,13.62
29,meulaboh,100,ID,1569858118,79,4.14,96.13,79.79,7.18
30,chifeng,6,CN,1569858118,62,42.27,118.96,60.53,9.73
31,puerto ayora,75,AR,1569858118,74,-51.62,-69.23,33.8,12.75
32,ribeira grande,75,PT,1569858119,88,41.76,-8.56,81.0,9.17
33,port alfred,90,CD,1569858119,59,-7.04,29.76,75.65,3.76
34,cherskiy,100,RU,1569858119,80,68.75,161.3,29.03,11.48
35,ternate,40,PH,1569858119,83,14.29,120.72,82.4,3.36
36,tetouan,0,MA,1569858120,51,35.57,-5.37,91.4,8.05
37,new norfolk,75,LR,1569858030,70,6.65,-10.59,87.8,14.99
38,teknaf,100,BD,1569858120,73,20.86,92.31,83.39,2.77
39,san patricio,24,ML,1569858120,25,13.3,-4.9,99.95,8.81
40,east london,100,UG,1569858121,84,3.43,31.7,77.09,0.38
41,scarborough,100,GB,1569858121,72,54.28,-0.41,61.0,3.36
42,crotone,0,IT,1569858121,51,39.09,17.12,82.4,6.93
43,tuktoyaktuk,75,CA,1569858122,93,69.44,-133.03,39.2,5.82
44,ardakan,20,IR,1569858122,11,32.31,54.02,91.4,4.7
45,mahebourg,40,MU,1569858122,78,-20.41,57.7,73.4,11.41
46,kapaa,40,US,1569858123,83,22.08,-159.32,78.8,9.17
47,kruisfontein,36,ZA,1569858123,72,-34.0,24.73,58.55,17.49
48,talara,0,PE,1569857846,290,-4.58,-81.27,62.6,19.46
49,busselton,88,AU,1569858124,69,-33.64,115.35,57.0,17.38
50,hualmay,95,PE,1569857861,89,-11.1,-77.61,61.07,9.71
51,coahuayana,100,MX,1569858124,97,18.62,-100.35,68.99,1.12
52,punta arenas,40,PH,1569858124,83,14.18,121.12,82.4,3.36
53,bilibino,100,RU,1569858124,81,68.06,166.44,20.21,2.48
54,lasa,0,CY,1569858125,57,34.92,32.53,80.6,14.99
55,poum,20,MK,1569858125,49,41.28,20.71,73.4,6.93
